job_index	condition	stage	method	pocket	seed	num_samples	tag
73	iterative	round1	pocket2mol	2HYY	97	250	iterative-round1-pocket2mol-2hyy-s97-n250-r02
74	iterative	round1	diffsbdd	2HYY	97	250	iterative-round1-diffsbdd-2hyy-s97-n250-r02
75	iterative	round1	targetdiff	2HYY	109	250	iterative-round1-targetdiff-2hyy-s109-n250-r02
76	iterative	round1	pocket2mol	2HYY	109	250	iterative-round1-pocket2mol-2hyy-s109-n250-r02
77	iterative	round1	diffsbdd	2HYY	109	250	iterative-round1-diffsbdd-2hyy-s109-n250-r02
78	iterative	round1	targetdiff	3CS9	83	250	iterative-round1-targetdiff-3cs9-s83-n250-r02
79	iterative	round1	pocket2mol	3CS9	83	250	iterative-round1-pocket2mol-3cs9-s83-n250-r02
80	iterative	round1	diffsbdd	3CS9	83	250	iterative-round1-diffsbdd-3cs9-s83-n250-r02
81	iterative	round1	targetdiff	3CS9	97	250	iterative-round1-targetdiff-3cs9-s97-n250-r02
82	iterative	round1	pocket2mol	3CS9	97	250	iterative-round1-pocket2mol-3cs9-s97-n250-r02
83	iterative	round1	diffsbdd	3CS9	97	250	iterative-round1-diffsbdd-3cs9-s97-n250-r02
84	iterative	round1	targetdiff	3CS9	109	250	iterative-round1-targetdiff-3cs9-s109-n250-r02
85	iterative	round1	pocket2mol	3CS9	109	250	iterative-round1-pocket2mol-3cs9-s109-n250-r02
86	iterative	round1	diffsbdd	3CS9	109	250	iterative-round1-diffsbdd-3cs9-s109-n250-r02
87	iterative	round1	targetdiff	4WA9	83	250	iterative-round1-targetdiff-4wa9-s83-n250-r02
88	iterative	round1	pocket2mol	4WA9	83	250	iterative-round1-pocket2mol-4wa9-s83-n250-r02
89	iterative	round1	diffsbdd	4WA9	83	250	iterative-round1-diffsbdd-4wa9-s83-n250-r02
90	iterative	round1	targetdiff	4WA9	97	250	iterative-round1-targetdiff-4wa9-s97-n250-r02
91	iterative	round1	pocket2mol	4WA9	97	250	iterative-round1-pocket2mol-4wa9-s97-n250-r02
92	iterative	round1	diffsbdd	4WA9	97	250	iterative-round1-diffsbdd-4wa9-s97-n250-r02
